Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2018,December,2 Eastern, Boroondara,6935,3825.4
2018,December,2 Eastern, East Gippsland,4519,9652.3
2018,December,2 Eastern, Greater Shepparton,8746,13250.1
2018,December,2 Eastern, Indigo,450,2728.9
2018,December,2 Eastern, Knox,10810,6623.7
2018,December,2 Eastern, Latrobe,14609,19424
2018,December,2 Eastern, Manningham,4362,3475.5
2018,December,2 Eastern, Mansfield,480,5345.8
2018,December,2 Eastern, Maroondah,8110,6902.2
2018,December,2 Eastern, Mitchell,4320,9751.9
2018,December,2 Eastern, Moira,2117,7104.3
2018,December,2 Eastern, Monash,10337,5166.5
2018,December,2 Eastern, Murrindindi,716,4945.4
2018,December,2 Eastern, South Gippsland,1445,4885.7
2018,December,2 Eastern, Strathbogie,604,5674
2018,December,2 Eastern, Towong,212,3501.8
2018,December,2 Eastern, Wangaratta,2389,8213.3
2018,December,2 Eastern, Wellington,4004,9096.1
2018,December,2 Eastern, Whitehorse,8202,4655
2018,December,2 Eastern, Wodonga,3208,7743.4
2018,December,2 Eastern, Yarra Ranges,7658,4841.5
2018,December,2 Eastern,Total,112709,6634.1
2018,December,3 Southern Metro, Bayside,4685,4431.6
2018,December,3 Southern Metro, Cardinia,6049,5646.9
2018,December,3 Southern Metro, Casey,21025,6176.2
2018,December,3 Southern Metro, Frankston,14878,10488.9
2018,December,3 Southern Metro, Glen Eira,6474,4207.8
2018,December,3 Southern Metro, Greater Dandenong,18297,11016.1
2018,December,3 Southern Metro, Kingston,11004,6733.1
2018,December,3 Southern Metro, Mornington Peninsula,10800,6513
2018,December,3 Southern Metro, Port Phillip,13129,11598.1
2018,December,3 Southern Metro, Stonnington,10788,9283.4
2018,December,3 Southern Metro,Total,117129,7442.8
2018,December,4 Western, Ararat,1348,11428.6
2018,December,4 Western, Ballarat,10868,10126.3
2018,December,4 Western, Buloke,236,3816.3
2018,December,4 Western, Campaspe,3808,10129.8
2018,December,4 Western, Central Goldfields,1295,9803.9
2018,December,4 Western, Colac-Otway,1596,7422.2
2018,December,4 Western, Corangamite,733,4541.5
2018,December,4 Western, Gannawarra,751,7120.5
2018,December,4 Western, Glenelg,1347,6849.7
2018,December,4 Western, Golden Plains,684,2958.5
2018,December,4 Western, Greater Bendigo,10550,9091.3
2018,December,4 Western, Greater Geelong,20778,8238.1
2018,December,4 Western, Hepburn,740,4680
2018,December,4 Western, Hindmarsh,351,6217.9
2018,December,4 Western, Horsham,3021,15200
2018,December,4 Western, Loddon,490,6522
2018,December,4 Western, Macedon Ranges,2332,4721.8
2018,December,4 Western, Mildura,7338,13218
2018,December,4 Western, Moorabool,2441,7146.2
2018,December,4 Western, Mount Alexander,880,4509.6
2018,December,4 Western, Moyne,530,3138.5
2018,December,4 Western, Northern Grampians,987,8634.4
2018,December,4 Western, Pyrenees,501,6813.5
2018,December,4 Western, Queenscliffe,303,10161
2018,December,4 Western, Southern Grampians,1563,9687
2018,December,4 Western, Surf Coast,1186,3677.4
2018,December,4 Western, Swan Hill,2526,12168.2
2018,December,4 Western, Warrnambool,3953,11339
2018,December,4 Western, West Wimmera,166,4298.3
2018,December,4 Western, Yarriambiack,502,7539.8
2018,December,4 Western,Total,83804,8414.5
2018,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,2836,
2018,December,Justice Institutions and Immigration Facilities,Total,2836,
2018,December,Unincorporated Vic, Unincorporated Vic,143,
2018,December,Unincorporated Vic,Total,143,
2017,December,1 North West Metro, Banyule,9657,7479.4
2017,December,1 North West Metro, Brimbank,17143,8281.8
2017,December,1 North West Metro, Darebin,14791,9317.1
2017,December,1 North West Metro, Hobsons Bay,6070,6384.7
2017,December,1 North West Metro, Hume,20222,9395.2
2017,December,1 North West Metro, Maribyrnong,8023,8978.1
2017,December,1 North West Metro, Melbourne,36464,22913
2017,December,1 North West Metro, Melton,10632,7153.9
2017,December,1 North West Metro, Moonee Valley,8604,6860.6
2017,December,1 North West Metro, Moreland,12748,7203.3
2017,December,1 North West Metro, Nillumbik,2325,3598.1
2017,December,1 North West Metro, Whittlesea,15582,7224.4
2017,December,1 North West Metro, Wyndham,14234,5904.5
2017,December,1 North West Metro, Yarra,13283,13837.3
2017,December,1 North West Metro,Total,189778,8943.2
2017,December,2 Eastern, Alpine,454,3592.3
2017,December,2 Eastern, Bass Coast,2574,7485.6
2017,December,2 Eastern, Baw Baw,3750,7400
2017,December,2 Eastern, Benalla,1296,9274.4
2017,December,2 Eastern, Boroondara,7314,4070.6
2017,December,2 Eastern, East Gippsland,3965,8594.2
2017,December,2 Eastern, Greater Shepparton,8047,12275.4
2017,December,2 Eastern, Indigo,491,3006.2
2017,December,2 Eastern, Knox,11280,6970.4
2017,December,2 Eastern, Latrobe,13339,17807.2
2017,December,2 Eastern, Manningham,4904,3946.2
2017,December,2 Eastern, Mansfield,664,7548.9
2017,December,2 Eastern, Maroondah,8290,7126.8
2017,December,2 Eastern, Mitchell,4401,10258
2017,December,2 Eastern, Moira,1927,6498.7
2017,December,2 Eastern, Monash,11115,5644.4
2017,December,2 Eastern, Murrindindi,717,5037.2
2017,December,2 Eastern, South Gippsland,1442,4918
2017,December,2 Eastern, Strathbogie,567,5408.2
2017,December,2 Eastern, Towong,217,3593.3
2017,December,2 Eastern, Wangaratta,2345,8127.4
2017,December,2 Eastern, Wellington,3669,8376.5
2017,December,2 Eastern, Whitehorse,8300,4790.4
2017,December,2 Eastern, Wodonga,3298,8081
2017,December,2 Eastern, Yarra Ranges,8209,5233
2017,December,2 Eastern,Total,112575,6706.3
2017,December,3 Southern Metro, Bayside,4761,4565.5
2017,December,3 Southern Metro, Cardinia,5817,5680.5
2017,December,3 Southern Metro, Casey,21227,6496
